invoice_number,vendor_name,invoice_date,due_date,payment_terms,po_number,subtotal,tax,total_amount
INV-10230,Ironclad Security Inc.,2024-01-02,2024-02-01,NET30,PO-28889,3787.29,302.98,4090.27
INV-10064,Granite Facilities Mgmt,2024-01-03,2024-02-02,NET30,PO-26396,1551.41,124.11,1675.53
INV-10179,Ironclad Security Inc.,2024-01-11,2024-02-10,NET30,PO-23954,2276.18,182.09,2458.27
INV-10032,Ironclad Security Inc.,2024-01-12,2024-02-11,NET30,PO-21876,2281.64,182.53,2464.17
INV-10168,Falcon IT Services,2024-01-13,2024-02-12,NET30,PO-26882,3251.13,260.09,3511.22
INV-10195,Bluepeak Logistics,2024-01-13,2024-01-28,NET15,PO-27216,3294.51,263.56,3558.07
INV-10061,Ironclad Security Inc.,2024-01-16,2024-02-15,NET30,PO-23872,3720.47,297.64,4018.11
INV-10048,Falcon IT Services,2024-01-22,2024-02-21,NET30,PO-29638,3135.93,250.87,3386.8
INV-10220,Juniper Marketing Group,2024-01-22,2024-02-06,NET15,PO-24415,1642.25,131.38,1773.63
INV-10103,Delta Office Solutions,2024-01-25,2024-02-24,NET30,PO-24564,718.99,57.52,776.51
INV-10001,Bluepeak Logistics,2024-01-26,2024-02-10,NET15,PO-22286,4164.2,333.14,4497.34
INV-10125,Crestline Manufacturing,2024-01-26,2024-03-11,NET45,PO-21193,19385.25,1550.82,20936.07
INV-10147,Harbor Freight Partners,2024-01-30,2024-03-30,NET60,PO-26624,6950.25,556.02,7506.27
INV-10234,Bluepeak Logistics,2024-01-30,2024-02-14,NET15,PO-29975,4744.01,379.52,5123.53
INV-10092,Ironclad Security Inc.,2024-02-06,2024-03-07,NET30,PO-26049,2612.01,208.96,2820.97
INV-10101,Granite Facilities Mgmt,2024-02-09,2024-03-10,NET30,PO-27541,2378.92,190.31,2569.24
INV-10094,Falcon IT Services,2024-02-10,2024-03-11,NET30,PO-25862,3251.24,260.1,3511.34
INV-10221,Juniper Marketing Group,2024-02-11,2024-02-26,NET15,PO-28502,1817.87,145.43,1963.3
INV-10089,Everwood Consulting,2024-02-15,2024-03-01,NET15,PO-24291,8060.24,644.82,8705.06
INV-10029,Bluepeak Logistics,2024-02-18,2024-03-04,NET15,PO-22621,4533.18,362.65,4895.83
INV-10232,Harbor Freight Partners,2024-02-22,2024-04-22,NET60,PO-23335,9726.85,778.15,10505.0
INV-10070,Crestline Manufacturing,2024-02-28,2024-04-13,NET45,PO-28320,13315.33,1065.23,14380.56
INV-10056,Bluepeak Logistics,2024-03-03,2024-03-18,NET15,PO-26596,4666.4,373.31,5039.71
INV-10140,Delta Office Solutions,2024-03-06,2024-04-05,NET30,PO-26797,919.72,73.58,993.29
INV-10050,Delta Office Solutions,2024-03-10,2024-04-09,NET30,PO-20514,790.49,63.24,853.73
INV-10080,Falcon IT Services,2024-03-11,2024-04-10,NET30,PO-24002,2833.1,226.65,3059.74
INV-10051,Falcon IT Services,2024-03-13,2024-04-12,NET30,PO-27953,2517.15,201.37,2718.52
INV-10079,Bluepeak Logistics,2024-03-16,2024-03-31,NET15,PO-22170,3161.06,252.88,3413.94
INV-10206,Ironclad Security Inc.,2024-03-17,2024-04-16,NET30,PO-22564,2352.8,188.22,2541.02
INV-10164,Delta Office Solutions,2024-03-18,2024-04-17,NET30,PO-29700,460.76,36.86,497.62
INV-10217,Harbor Freight Partners,2024-03-23,2024-05-22,NET60,PO-25280,5916.81,473.34,6390.16
INV-10154,Everwood Consulting,2024-03-24,2024-04-08,NET15,PO-27705,8902.86,712.23,9615.09
INV-10150,Acme Supplies Co.,2024-03-26,2024-04-25,NET30,PO-27022,1550.63,124.05,1674.68
INV-10182,Acme Supplies Co.,2024-04-05,2024-05-05,NET30,PO-24820,1570.82,125.67,1696.49
INV-10236,Granite Facilities Mgmt,2024-04-05,2024-05-05,NET30,PO-23681,2624.51,209.96,2834.48
INV-10054,Delta Office Solutions,2024-04-06,2024-05-06,NET30,PO-21588,844.91,67.59,912.51
INV-10010,Granite Facilities Mgmt,2024-04-09,2024-05-09,NET30,PO-25881,2103.75,168.3,2272.05
INV-10060,Ironclad Security Inc.,2024-04-10,2024-05-10,NET30,PO-20828,3733.01,298.64,4031.65
INV-10204,Juniper Marketing Group,2024-04-11,2024-04-26,NET15,PO-23404,1781.3,142.5,1923.8
INV-10016,Delta Office Solutions,2024-04-13,2024-05-13,NET30,PO-26227,922.8,73.82,996.62
INV-10165,Delta Office Solutions,2024-04-14,2024-05-14,NET30,PO-29837,758.6,60.69,819.29
INV-10169,Harbor Freight Partners,2024-04-18,2024-06-17,NET60,PO-27532,7439.67,595.17,8034.85
INV-10128,Acme Supplies Co.,2024-04-19,2024-05-19,NET30,PO-26965,1701.87,136.15,1838.02
INV-10057,Falcon IT Services,2024-04-21,2024-05-21,NET30,PO-27350,3003.29,240.26,3243.55
INV-10161,Juniper Marketing Group,2024-04-27,2024-05-12,NET15,PO-25096,1836.37,146.91,1983.28
INV-10106,Acme Supplies Co.,2024-04-28,2024-05-28,NET30,PO-24279,977.8,78.22,1056.02
INV-10200,Delta Office Solutions,2024-05-01,2024-05-31,NET30,PO-29143,460.59,36.85,497.43
INV-10072,Granite Facilities Mgmt,2024-05-02,2024-06-01,NET30,PO-29333,2262.63,181.01,2443.64
INV-10188,Falcon IT Services,2024-05-02,2024-06-01,NET30,PO-28779,3304.25,264.34,3568.59
